ID,Date,Amount,Category,Description
1786055668355,2026-08-01,49.30,Restaurant,"Nita Lake Lodge - Breakfast"
1786055718884,2026-08-01,285.14,Restaurant,"Whistler - RED DOOR BISTRO"
1786055748691,2026-08-01,178.63,Restaurant,"Whistler - Brickworks"
1786055774393,2026-08-01,125.40,Restaurant,"Squamish - LOCAVORE BAR AND GRIL"
1786055796233,2026-08-03,36.44,Gas,""
1786055843048,2026-08-01,222.02,Activity / Entertainment,"Scandinave Spa"
1786055944562,2026-08-01,4.50,Grocery,"Scandinave Spa - Food"
1786056126970,2026-08-02,86.73,Nick,"Amazon - Sunglasses, Hamper, Honey Stingers"
1786056227629,2026-08-01,32.35,Restaurant,"Nita Lake Lodge - Food"
1786056261221,2026-08-01,18.30,Restaurant,"Nita Lake Lodge - Food"
1786056310952,2026-08-06,16.37,Restaurant,"Poke - Barkley"
1786056473595,2026-08-02,75.69,Grocery,"Outpost @ Transition Bike Shop"
1786056496427,2026-08-03,147.58,Nick,"Amazon - Rowing Mat, HEPA Filter, Fan"
1786056543958,2026-08-04,49.00,Gas,""
1786056578919,2026-08-03,400.83,Grocery,"Haggen"
1786056616110,2026-08-05,38.22,Nick,"REI - Sunglasses (x2)"
1786056646262,2026-08-06,5.88,Nick,"Amazon - Hiking Book"
1786056669211,2026-08-06,79.63,Nick,"Amazon - Bike Tire"
1786056709030,2026-08-06,52.25,Gas,""
1786056737792,2026-08-06,20.00,Nick,"Chiropractic Bike Fit"
1786058082151,2026-08-06,96.13,Grocery,"Coffee - Highwire"
1753000001,2026-07-30,35.57,Restaurant,"Forecast Coffee"
1753000002,2026-07-30,12.99,Subscription,"Apple TV"
1753000003,2026-07-29,20.00,Subscription,"ANTHROPIC CLAUDE"
1753000004,2026-07-28,661.50,Vacation,"Nita Lake Lodge"
1753000005,2026-07-27,150.00,Nick,"Therapy"
1753000006,2026-07-26,96.35,Grocery,"VALLEY MARKET"
1753000007,2026-07-27,294.03,Other,"Crockpot"
1753000008,2026-07-27,25.04,Nick,"Amazon - Bike Pump"
1753000009,2026-07-26,39.00,Fitness,"Nick - Yoga"
1753000010,2026-07-26,39.00,Fitness,"Seneth - YOGA"
1753000011,2026-07-26,19.99,Subscription,"ZWIFT INC."
1753000012,2026-07-26,64.24,Nick,"Amazon - Bike Pedal"
1753000013,2026-07-25,120.98,Restaurant,"Aslan Brewing"
1753000014,2026-07-25,390.25,Grocery,"Whole Foods"
1753000015,2026-07-25,18.99,Subscription,"Hulu"
1753000016,2026-07-25,21.68,Subscription,"OPENAI"
1753000017,2026-07-26,36.70,Nick,"Amazon - Bike tool"
1753000018,2026-07-24,44.40,Gas,""
1753000019,2026-07-21,50.01,Gas,""
1753000020,2026-07-22,214.59,Nick,"Amazon - Bike shorts & seat"
1753000021,2026-07-22,6.63,Seneth,"Expedia - Breakfast"
1753000022,2026-07-21,143.26,Grocery,"SKAGIT VALLEY FOOD COOP"
1753000023,2026-07-21,23.72,Restaurant,"SKAGIT VALLEY FOOD COOP"
1753000024,2026-07-21,8.00,Seneth,"SEATTLE METER PARKING"
1753000025,2026-07-20,41.18,Grocery,"PCC - GREENLAKE AUR"
1753000026,2026-07-21,46.83,Nick,"Amazon - Honey Stingers & Gels"
1753000027,2026-07-21,359.29,Seneth,"Barry's"
1753000028,2026-07-21,58.80,Other,"Amazon - Fridge Filter"
1753000029,2026-07-21,38.10,Nick,"Amazon - Gells"
1753000030,2026-07-19,45.12,Gas,"Arco"
1753000031,2026-07-21,89.95,Nick,"SP COGNATIVE MTB"
1753000032,2026-07-21,79.19,Nick,"SP CLUB RIDE APPAREL"
1753000033,2026-07-19,61.73,Restaurant,"LITTLE RED HEN BAKER"
1753000034,2026-07-19,104.40,Nick,"BYWATER Sauna"
1753000035,2026-07-18,115.56,Restaurant,"GUNNERS BBQ"
1753000036,2026-07-19,96.13,Grocery,"HIGHWIRE COFFEE"
1753000037,2026-07-19,27.10,Gas,"CHEVRON 0205413"
1753000038,2026-07-17,150.00,Nick,"Therapy"
1753000039,2026-07-17,39.99,Nick,"LinkedIn Premium"
